"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17904","D_24: Nhãn phân loại độ tuổi","webkit","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","5045","D_22: Kiểm tra pagination của danh sách phim","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","25385","D_30: Kiểm tra giao diện khi API lấy danh sách phim bị lỗi","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > UI / Responsive & Loading","ui\dashboard\dashboard.spec.ts","",""
"","4042","D_34: Kiểm tra đăng nhập thành công với tài khoản hợp lệ","firefox","2026-09-20","failed","2026-09-20","Login Feature","ui\login.spec.ts","",""
"","1","D_38: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Khuyến Mãi","firefox","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","40031","D_13: Kiểm tra dropdown Rạp hiển thị danh sách rạp khi đã chọn Phim","webkit","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","36421","D_13: Kiểm tra dropdown Rạp hiển thị danh sách rạp khi đã chọn Phim","firefox","2026-09-20","broken","2026-09-20","Dashboard Feature > Movie Search (Quick Booking Bar)","ui\dashboard\dashboard.spec.ts","",""
"","9172","D_21: Kiểm tra danh sách phim trên trang chủ được hiển thị","firefox","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","1","D_34: Kiểm tra hình ảnh lỗi sau khi click Xem Thêm trong mục Điện ảnh 24h","webkit","2026-09-20","skipped","2026-09-20","MuiContainer - News Section Feature","ui\dashboard\tintuc.spec.ts","",""
"","5179","D_23: Kiểm tra thông tin hiển thị trên thẻ phim","chromium","2026-09-20","passed","2026-09-20","Dashboard Feature > Movie Listing","ui\dashboard\dashboard.spec.ts","",""
"","0","Verify register function with POM(Page Object Model)","webkit","2026-09-20","skipped","2026-09-20","","ui\register.spec.ts","",""
